Symbol,Name,"Wtd Alpha",Last,Change,%Chg,"52W High","52W Low","52W %Chg",Time
INTC,"Intel Corp",+84.60,49.06,-0.030000000000001,-0.06%,51.28,24.73,+66.21%,"14:18 ET"
CRM,"Salesforce Inc",+71.30,277.09,0.20999999999998,+0.08%,285.72,158.1,+78.12%,"14:18 ET"
MSFT,"Microsoft Corp",+61.80,403.03,0.46999999999997,+0.12%,407.01,242,+68.28%,"14:18 ET"
IBM,"International Business Machines",+56.60,190.05,16.12,+9.27%,196.9,120.55,+36.17%,"14:18 ET"
AMGN,"Amgen Inc",+30.60,308.84,3.34,+1.09%,312.45,211.71,+20.14%,"14:17 ET"
AAPL,"Apple Inc",+29.60,193.9,-0.59999999999999,-0.31%,199.62,141.32,+37.20%,"14:18 ET"
JPM,"JP Morgan Chase & Company",+28.40,172.5,2,+1.17%,176.31,123.11,+23.92%,"14:18 ET"
TRV,"The Travelers Companies Inc",+22.80,211.05,0.070000000000022,+0.03%,215.21,157.33,+10.56%,"14:18 ET"
CAT,"Caterpillar Inc",+22.10,298.29,7.61,+2.62%,303.31,204.04,+15.54%,"14:17 ET"
V,"Visa Inc",+21.40,271.17,-0.47999999999996,-0.18%,272.86,208.76,+20.52%,"14:18 ET"
MRK,"Merck & Company",+16.40,119.63,0.75,+0.63%,119.99,99.14,+9.95%,"14:18 ET"
HD,"Home Depot",+16.10,350.54,3.27,+0.94%,362.96,274.26,+10.48%,"14:18 ET"
AXP,"American Express Company",+16.00,187.84,2.02,+1.09%,189.51,140.91,+19.86%,"14:17 ET"
GS,"Goldman Sachs Group",+15.50,383.38,3.98,+1.05%,392.73,289.36,+9.90%,"14:17 ET"
$DOWI,"Dow Jones Industrials Average",+14.50,37835.75,29.360000000001,+0.08%,38109.2,31429.82,+12.21%,"14:08 ET"
VZ,"Verizon Communications Inc",+13.40,42.13,0.85,+2.06%,42.34,30.14,+4.03%,"14:17 ET"
WMT,"Walmart Inc",+11.90,161.88,1.38,+0.86%,169.94,136.09,+13.56%,"14:18 ET"
MCD,"McDonald's Corp",+10.00,296.75,-3.69,-1.23%,302.39,245.73,+8.62%,"14:18 ET"
PG,"Procter & Gamble Company",+9.10,154.74,2.62,+1.72%,158.38,135.83,+8.76%,"14:18 ET"
CSCO,"Cisco Systems Inc",+7.40,52.24,0.93,+1.81%,58.19,45.56,+9.08%,"14:18 ET"
HON,"Honeywell International Inc",+0.60,201.82,1.95,+0.98%,210.87,174.88,-2.21%,"14:17 ET"
KO,"Coca-Cola Company",-2.40,59.04,0.13,+0.22%,64.99,51.55,-3.32%,"14:18 ET"
DOW,"Dow Inc",-3.80,54.51,1.42,+2.67%,60.88,47.26,-5.99%,"14:18 ET"
JNJ,"Johnson & Johnson",-3.90,159.45,0.48999999999998,+0.31%,175.97,144.95,-6.16%,"14:17 ET"
UNH,"Unitedhealth Group Inc",-4.00,482.01,-31.22,-6.08%,554.7,445.68,-2.31%,"14:18 ET"
DIS,"Walt Disney Company",-7.50,94.15,0.65000000000001,+0.70%,118.18,78.73,-13.07%,"14:18 ET"
BA,"Boeing Company",-8.10,200.75,-13.38,-6.25%,267.54,176.25,-5.59%,"14:18 ET"
MMM,"3M Company",-15.70,95.76,2.52,+2.70%,120.85,85.35,-15.20%,"14:18 ET"
CVX,"Chevron Corp",-16.60,147.51,2.59,+1.79%,187.81,139.62,-17.91%,"14:17 ET"
NKE,"Nike Inc",-20.20,100.19,-0.57000000000001,-0.57%,131.31,88.66,-20.71%,"14:18 ET"
WBA,"Walgreens Boots Alliance",-36.70,22.95,0.58,+2.59%,37.96,19.68,-37.31%,"14:17 ET"
"Downloaded from Barchart.com as of 01-25-2024 01:18pm CST"
